student_id,name,email,attendance,previous_marks,assignment_score,quiz_score,study_hours,lms_activity,participation,performance
STU1001,"Alexander Watson",alexander.watson1@edupredict.edu,41.7,47.3,46.4,51,7.6,38,4,At Risk
STU1002,"Sophia Silva",sophia.silva2@edupredict.edu,45.9,49.6,53.9,52,11.2,51.5,2.9,At Risk
STU1003,"Marcus Muller",marcus.muller3@edupredict.edu,45.3,45.8,42.6,42.7,7.7,34.8,3.3,At Risk
STU1004,"Emma Taylor",emma.taylor4@edupredict.edu,46.2,55.1,46.8,54.5,11.9,52.9,3.1,At Risk
STU1005,"Liam Garcia",liam.garcia5@edupredict.edu,56.7,44.9,51.5,51,11.8,58.6,4.1,At Risk
STU1006,"Aaliyah Young",aaliyah.young6@edupredict.edu,53.6,45.3,48.2,55.4,10.9,46.4,5.2,At Risk
STU1007,"Ethan O'Connor",ethan.o'connor7@edupredict.edu,41.2,46.4,45.8,38,5.5,37.2,3.5,At Risk
STU1008,"Olivia Patel",olivia.patel8@edupredict.edu,56.2,55.1,62.6,48.4,10.7,50.2,4.3,At Risk
STU1009,"Daniel Novak",daniel.novak9@edupredict.edu,55.7,50.1,48.3,56.4,11,55.4,4.3,At Risk
STU1010,"Chloe Thomas",chloe.thomas10@edupredict.edu,38,56.7,45.9,45.7,6.3,27.8,3.1,At Risk
STU1011,"Lucas Clark",lucas.clark11@edupredict.edu,51.8,43.7,52.9,43,10,51.7,4.3,At Risk
STU1012,"Ava Allen",ava.allen12@edupredict.edu,48.6,45.2,48.4,49.4,9,49,4.3,At Risk
STU1013,"Noah Khan",noah.khan13@edupredict.edu,49.2,47.5,49.7,46.7,8.9,48.9,3,At Risk
STU1014,"Isabella Campbell",isabella.campbell14@edupredict.edu,56.6,47.5,56.2,48.6,10,59,3.6,At Risk
STU1015,"James Chen",james.chen15@edupredict.edu,55.3,52.5,57.1,56.3,13.6,66.8,4.7,At Risk
STU1016,"Mia Jackson",mia.jackson16@edupredict.edu,53,61.5,61.4,52.9,11.8,57.7,4.5,At Risk
STU1017,"Benjamin Robinson",benjamin.robinson17@edupredict.edu,60.6,50.7,69.5,60.3,17.2,76.1,5,Average
STU1018,"Charlotte Sanchez",charlotte.sanchez18@edupredict.edu,50.2,54.1,49.2,49.8,10.5,55.3,3.4,At Risk
STU1019,"Henry Zhang",henry.zhang19@edupredict.edu,53.6,50,57.6,44.5,8.6,51.9,2.9,At Risk
STU1020,"Amelia Rossi",amelia.rossi20@edupredict.edu,39,46.7,54.3,52.6,10.4,46.3,3.5,At Risk
STU1021,"Sebastian Gupta",sebastian.gupta21@edupredict.edu,42.9,37.3,39.9,41.6,7.1,29.8,2.9,At Risk
STU1022,"Harper White",harper.white22@edupredict.edu,45.5,43.7,46.1,40.5,11.1,55.7,3.8,At Risk
STU1023,"Jack Lewis",jack.lewis23@edupredict.edu,57.4,62.6,64.3,71,14.2,65.2,5.1,At Risk
STU1024,"Evelyn Hayes",evelyn.hayes24@edupredict.edu,57,58.4,60.5,57.2,13.2,75,5.1,At Risk
STU1025,"Owen Bennett",owen.bennett25@edupredict.edu,48.7,47.6,53.6,50.3,11.4,44.7,4.2,At Risk
STU1026,"Abigail Wilson",abigail.wilson26@edupredict.edu,55.9,61.3,64.6,63.2,12.3,54.7,4.7,At Risk
STU1027,"Samuel Santos",samuel.santos27@edupredict.edu,63,49.8,47.2,60.4,11.1,55.8,4.8,At Risk
STU1028,"Emily Harris",emily.harris28@edupredict.edu,47,47.1,39.1,37.2,4.7,36.3,3.5,At Risk
STU1029,"David Walker",david.walker29@edupredict.edu,43.6,44.7,46.6,39.8,9.3,48.6,3.7,At Risk
STU1030,"Elizabeth Martinez",elizabeth.martinez30@edupredict.edu,56,37.5,49.4,43.9,9.7,56.6,4.1,At Risk
STU1031,"Joseph Rivera",joseph.rivera31@edupredict.edu,65.2,66.4,73.7,70.8,14.2,64.5,5.7,Average
STU1032,"Sofia Tanaka",sofia.tanaka32@edupredict.edu,72.2,59.8,56.5,53,9.2,66.4,4.5,Average
STU1033,"John Schmidt",john.schmidt33@edupredict.edu,49.8,55,59.9,58.2,11.2,55.5,4.6,At Risk
STU1034,"Avery Martin",avery.martin34@edupredict.edu,55.7,59.9,65.4,64.7,14.3,70.4,4.7,At Risk
STU1035,"Wyatt Perez",wyatt.perez35@edupredict.edu,48.6,61.9,61.3,55.5,11,53.7,4.5,At Risk
STU1036,"Ella Vance",ella.vance36@edupredict.edu,43,47.2,55.5,56.1,11.7,54.7,3,At Risk
STU1037,"Matthew Dubois",matthew.dubois37@edupredict.edu,54.8,54.3,55.8,49.8,9.4,50.5,3.9,At Risk
STU1038,"Scarlett Kim",scarlett.kim38@edupredict.edu,66.7,53.3,64.8,55.4,13.5,67.4,6.2,Average
STU1039,"Luke Anderson",luke.anderson39@edupredict.edu,52,54,52.3,56.9,14.4,55.8,4.7,At Risk
STU1040,"Grace Thompson",grace.thompson40@edupredict.edu,68.6,49.3,67.2,59.8,11.2,54.9,6.1,Average
STU1041,"Asher Hall",asher.hall41@edupredict.edu,60.8,62.5,70.1,75.3,18.1,70.6,6.3,Average
STU1042,"Chloe Watson",chloe.watson42@edupredict.edu,57.9,62.2,57.5,66.9,13.6,59.7,4.2,At Risk
STU1043,"Carter Silva",carter.silva43@edupredict.edu,51.7,59.9,56,58.4,14.2,58.2,4.8,At Risk
